GEOID,tpopr,nhwhite,nhblk,nhasn,hisp,pblk,pwht,pasn,phisp
26163533000,1804,77,1683,3,22,0.9329268,0.0426829,0.001663,0.0121951
26163533100,1824,7,1769,0,16,0.9698465,0.0038377,0,0.0087719
26163533200,1656,12,1604,0,14,0.968599,0.0072464,0,0.0084541
26163533300,1795,35,1700,5,12,0.9470752,0.0194986,0.0027855,0.0066852
26163533400,3069,24,2959,2,29,0.9641577,0.0078201,6.517e-4,0.0094493
26163533500,1322,6,1268,0,24,0.9591528,0.0045386,0,0.0181543
26163533600,2446,9,2370,1,13,0.9689289,0.0036795,4.088e-4,0.0053148
26163533700,1242,16,1184,0,12,0.9533011,0.0128824,0,0.0096618
26163533900,2578,250,2199,32,37,0.8529868,0.0969744,0.0124127,0.0143522
26163534100,2070,14,1986,0,29,0.9594203,0.0067633,0,0.0140097
26163534200,4179,24,4060,0,26,0.9715243,0.005743,0,0.0062216
26163534300,1521,22,1454,1,8,0.95595,0.0144642,6.575e-4,0.0052597
26163534400,1958,19,1889,1,16,0.96476,0.0097038,5.107e-4,0.0081716
26163534500,980,9,950,1,9,0.9693878,0.0091837,0.0010204,0.0091837
26163534600,1902,24,1762,1,63,0.9263933,0.0126183,5.258e-4,0.033123
26163534700,3042,33,2945,3,28,0.9681131,0.0108481,9.862e-4,0.0092045
26163535000,2661,49,2533,2,44,0.9518978,0.0184141,7.516e-4,0.0165351
26163535100,2067,31,1992,0,21,0.9637155,0.0149976,0,0.0101597
26163535200,2487,32,2381,1,21,0.9573784,0.0128669,4.021e-4,0.0084439
26163535300,4028,59,3889,1,24,0.9654916,0.0146475,2.483e-4,0.0059583
26163535400,1522,18,1460,2,6,0.9592641,0.0118265,0.0013141,0.0039422
26163535500,2676,92,2513,2,18,0.9390882,0.0343797,7.474e-4,0.0067265
26163535600,3425,108,3215,7,35,0.9386861,0.0315328,0.0020438,0.010219
26163535700,1486,10,1438,3,13,0.9676985,0.0067295,0.0020188,0.0087483
26163536100,3846,83,3663,4,21,0.9524181,0.0215809,0.00104,0.0054602
26163536200,2012,25,1920,4,12,0.9542744,0.0124254,0.0019881,0.0059642
26163536300,3130,15,3019,0,25,0.9645367,0.0047923,0,0.0079872
26163536400,2868,14,2781,2,19,0.9696653,0.0048815,6.974e-4,0.0066248
26163536500,2363,12,2273,5,19,0.9619128,0.0050783,0.002116,0.0080406
26163536600,2946,30,2849,0,18,0.967074,0.0101833,0,0.00611
26163536700,1391,18,1335,1,9,0.9597412,0.0129403,7.189e-4,0.0064702
26163536800,1646,10,1590,0,8,0.9659781,0.0060753,0,0.0048603
26163536900,3497,23,3370,2,29,0.9636832,0.0065771,5.719e-4,0.0082928
26163537000,3641,57,3494,0,31,0.9596265,0.015655,0,0.0085141
26163537100,2178,20,2064,1,41,0.9476584,0.0091827,4.591e-4,0.0188246
26163537200,888,12,857,0,5,0.9650901,0.0135135,0,0.0056306
26163537300,2750,37,2601,3,47,0.9458182,0.0134545,0.0010909,0.0170909
26163537500,2966,25,2883,1,8,0.9720162,0.0084289,3.372e-4,0.0026972
26163537600,3243,48,3119,4,27,0.9617638,0.0148011,0.0012334,0.0083256
26163537700,3178,26,3072,6,13,0.9666457,0.0081812,0.001888,0.0040906
26163537800,2035,36,1953,4,8,0.9597052,0.0176904,0.0019656,0.0039312
26163538100,2076,232,1755,9,25,0.8453757,0.1117534,0.0043353,0.0120424
26163538200,1911,229,1593,7,26,0.833595,0.1198325,0.003663,0.0136054
26163538300,2134,80,1993,4,19,0.9339269,0.0374883,0.0018744,0.0089035
26163538400,3342,270,2931,22,42,0.8770197,0.0807899,0.0065829,0.0125673
26163538500,5158,29,4983,8,43,0.9660721,0.0056223,0.001551,0.0083366
26163538600,4669,19,4526,7,34,0.9693725,0.0040694,0.0014993,0.0072821
26163538700,3606,18,3502,5,32,0.9711592,0.0049917,0.0013866,0.0088741
26163538800,1404,6,1374,1,1,0.9786325,0.0042735,7.123e-4,7.123e-4
26163538900,3526,44,3361,1,41,0.9532048,0.0124787,2.836e-4,0.0116279
26163539000,2889,20,2792,5,15,0.9664244,0.0069228,0.0017307,0.0051921
26163539100,1794,13,1742,1,3,0.9710145,0.0072464,5.574e-4,0.0016722
26163539200,4710,47,4544,7,36,0.9647558,0.0099788,0.0014862,0.0076433
26163539300,3694,27,3562,5,39,0.9642664,0.0073091,0.0013535,0.0105577
26163539400,3479,19,3389,1,16,0.9741305,0.0054613,2.874e-4,0.004599
26163539500,2963,26,2855,7,25,0.9635505,0.0087749,0.0023625,0.0084374
26163539600,3310,35,3196,4,17,0.9655589,0.010574,0.0012085,0.005136
26163539700,1891,20,1817,4,14,0.9608673,0.0105764,0.0021153,0.0074035
26163540100,3300,47,3153,1,30,0.9554545,0.0142424,3.03e-4,0.0090909
26163540200,3771,40,3611,5,24,0.9575709,0.0106073,0.0013259,0.0063644
26163540300,3823,33,3724,1,22,0.9741041,0.008632,2.616e-4,0.0057546
26163540400,2569,44,2453,10,15,0.9548462,0.0171273,0.0038926,0.0058388
26163540500,3296,70,3154,4,25,0.9569175,0.0212379,0.0012136,0.007585
26163540600,3301,44,3165,1,19,0.9588004,0.0133293,3.029e-4,0.0057558
26163540700,3346,54,3210,5,17,0.9593545,0.0161387,0.0014943,0.0050807
26163540800,2174,38,2081,2,19,0.9572217,0.0174793,9.2e-4,0.0087397
26163540900,3466,73,3320,3,10,0.9578765,0.0210617,8.656e-4,0.0028852
26163541000,3634,69,3467,1,33,0.9540451,0.0189873,2.752e-4,0.0090809
26163541100,3636,108,3432,3,15,0.9438944,0.029703,8.251e-4,0.0041254
26163541200,2424,132,2200,9,26,0.9075908,0.0544554,0.0037129,0.0107261
26163541300,2429,589,1701,17,53,0.7002882,0.2424866,0.0069988,0.0218197
26163541400,2634,353,2177,10,33,0.8264996,0.1340167,0.0037965,0.0125285
26163541500,3476,92,3289,5,36,0.9462025,0.0264672,0.0014384,0.0103567
26163541700,2132,51,2028,3,6,0.9512195,0.0239212,0.0014071,0.0028143
26163541800,2495,499,1846,43,35,0.7398798,0.2,0.0172345,0.0140281
26163542100,4350,57,4181,2,30,0.9611494,0.0131034,4.598e-4,0.0068966
26163542200,3781,55,3639,2,19,0.9624438,0.0145464,5.29e-4,0.0050251
26163542300,2225,43,2135,4,16,0.9595506,0.0193258,0.0017978,0.007191
26163542400,2622,31,2498,2,36,0.9527079,0.011823,7.628e-4,0.01373
26163542500,2489,81,2326,1,31,0.9345119,0.0325432,4.018e-4,0.0124548
26163542600,3130,13,3067,1,8,0.9798722,0.0041534,3.195e-4,0.0025559
26163542700,937,16,903,0,5,0.963714,0.0170758,0,0.0053362
26163542800,2531,60,2405,2,8,0.9502173,0.023706,7.902e-4,0.0031608
26163542900,3377,208,3055,12,22,0.9046491,0.0615931,0.0035534,0.0065147
26163543000,1814,171,1609,1,5,0.8869901,0.0942668,5.513e-4,0.0027563
26163543100,2406,177,2144,19,14,0.8911056,0.0735661,0.0078969,0.0058188
26163543200,2804,95,2615,3,35,0.9325963,0.0338802,0.0010699,0.0124822
26163543400,3189,74,3021,5,43,0.9473189,0.0232048,0.0015679,0.0134839
26163543500,1599,107,1406,4,34,0.8792996,0.0669168,0.0025016,0.0212633
26163543600,1676,257,1292,0,50,0.7708831,0.1533413,0,0.0298329
26163543700,2649,155,2379,1,27,0.8980747,0.0585126,3.775e-4,0.0101925
26163543800,1093,185,828,7,29,0.757548,0.1692589,0.0064044,0.0265325
26163543900,901,141,720,0,24,0.7991121,0.1564928,0,0.0266371
26163544000,2178,193,1890,6,22,0.8677686,0.0886134,0.0027548,0.010101
26163544100,1803,121,1628,3,14,0.9029395,0.0671104,0.0016639,0.0077648
26163544200,2467,288,2090,15,14,0.8471828,0.116741,0.0060803,0.0056749
26163544300,2549,743,1648,21,59,0.6465281,0.2914869,0.0082385,0.0231463
26163545100,1544,56,1444,0,17,0.9352332,0.0362694,0,0.0110104
26163545200,3280,68,3115,11,24,0.9496951,0.0207317,0.0033537,0.0073171
26163545300,2162,31,2091,0,11,0.96716,0.0143386,0,0.0050879
26163545400,758,45,695,0,10,0.9168865,0.0593668,0,0.0131926
26163545500,3672,923,2499,5,143,0.6805556,0.2513617,0.0013617,0.0389434
26163545600,4553,2449,1467,38,389,0.3222051,0.5378871,0.0083461,0.0854382
26163545700,2373,1013,962,5,341,0.405394,0.4268858,0.002107,0.1437
26163545800,4708,1505,2462,16,544,0.5229397,0.3196686,0.0033985,0.115548
26163545900,4038,744,2999,3,203,0.7426944,0.1842496,7.429e-4,0.0502724
26163546000,3674,254,3266,2,84,0.8889494,0.0691345,5.444e-4,0.0228634
26163546100,4185,437,3524,8,112,0.842055,0.1044205,0.0019116,0.0267622
26163546200,2863,836,1792,32,127,0.6259169,0.2920014,0.0111771,0.0443591
26163546300,1655,184,1412,10,18,0.8531722,0.1111782,0.0060423,0.0108761
26163546400,1281,57,1173,1,23,0.9156909,0.0444965,7.806e-4,0.0179547
26163546500,2357,81,2239,3,11,0.9499364,0.0343657,0.0012728,0.0046669
26163546600,2194,102,2016,2,22,0.9188696,0.0464904,9.116e-4,0.0100273
26163546700,3152,115,2926,0,37,0.9282995,0.0364848,0,0.0117386
26163546800,3171,86,2976,5,32,0.9385052,0.0271208,0.0015768,0.0100915
26163546900,1198,22,1122,3,19,0.9365609,0.0183639,0.0025042,0.0158598
26163985000,44,11,13,0,20,0.2954545,0.25,0,0.4545455
26163985100,123,26,94,0,1,0.7642276,0.2113821,0,0.0081301
26163985200,1,0,1,0,0,1,0,0,0
26163985300,4,2,1,0,0,0.25,0.5,0,0
26163985500,11,5,5,1,0,0.4545455,0.4545455,0.0909091,0
26163985900,0,0,0,0,0,0.8281751476351351,0.07957133952702702,0.009027272297297297,0.06078128513513514
