GEOID,tpopr,nhwhite,nhblk,nhasn,hisp,pblk,pwht,pasn,phisp
261635003004009,20,0,20,0,0,1,0,0,0
261635003004011,53,2,51,0,0,0.9622642,0.0377358,0,0
261635003004006,68,1,57,0,6,0.8382353,0.0147059,0,0.0882353
261635003004002,0,0,0,0,0,0.8395502082592561,0.07763622124795029,0.007535890480711142,0.052996873962199015
261635003004007,35,1,34,0,0,0.9714286,0.0285714,0,0
261635003004003,14,0,14,0,0,1,0,0,0
261635003004001,117,10,105,0,0,0.8974359,0.0854701,0,0
261635003004004,106,0,99,6,1,0.9339623,0,0.056604,0.009434
261635003004010,41,2,38,0,1,0.9268293,0.0487805,0,0.0243902
261635004001000,10,0,8,0,2,0.8,0,0,0.2
261635004001005,64,3,59,0,0,0.921875,0.046875,0,0
261635004001001,25,1,24,0,0,0.96,0.04,0,0
261635004001006,39,1,36,0,0,0.9230769,0.025641,0,0
261635004001002,27,0,23,0,0,0.8518519,0,0,0
261635004001003,33,1,31,0,1,0.9393939,0.030303,0,0.030303
261635004001004,27,1,26,0,0,0.962963,0.037037,0,0
261635004001007,36,5,30,0,0,0.8333333,0.1388889,0,0
261635004002001,38,0,38,0,0,1,0,0,0
261635004002002,68,4,62,0,0,0.9117647,0.0588235,0,0
261635004002003,37,0,35,0,2,0.9459459,0,0,0.0540541
261635004002005,63,4,59,0,0,0.9365079,0.0634921,0,0
261635004002000,41,5,36,0,0,0.8780488,0.1219512,0,0
261635004002004,9,0,9,0,0,1,0,0,0
261635004002006,10,0,10,0,0,1,0,0,0
261635004003000,28,0,28,0,0,1,0,0,0
261635004003002,46,0,45,0,0,0.9782609,0,0,0
261635004003008,23,0,23,0,0,1,0,0,0
261635004003011,16,0,13,0,0,0.8125,0,0,0
261635004003016,24,4,20,0,0,0.8333333,0.1666667,0,0
261635004003004,34,0,34,0,0,1,0,0,0
261635004003001,56,6,46,0,4,0.8214286,0.1071429,0,0.0714286
261635004003003,19,0,18,0,0,0.9473684,0,0,0
261635004003005,37,4,27,0,3,0.7297297,0.1081081,0,0.0810811
261635004003006,37,0,37,0,0,1,0,0,0
261635004003007,21,0,19,0,0,0.9047619,0,0,0
261635004003009,0,0,0,0,0,0.8395502082592561,0.07763622124795029,0.007535890480711142,0.052996873962199015
261635004003010,49,0,47,0,1,0.9591837,0,0,0.0204082
261635004003012,26,0,26,0,0,1,0,0,0
261635004003013,25,0,24,0,1,0.96,0,0,0.04
261635004003014,21,0,21,0,0,1,0,0,0
261635004003015,8,0,8,0,0,1,0,0,0
261635004003017,47,0,45,0,1,0.9574468,0,0,0.0212766
261635004004002,50,0,50,0,0,1,0,0,0
261635004004004,42,0,42,0,0,1,0,0,0
261635004004005,51,0,51,0,0,1,0,0,0
261635004004007,32,1,22,0,1,0.6875,0.03125,0,0.03125
261635004004008,38,0,34,0,4,0.8947368,0,0,0.1052632
261635004004010,27,1,26,0,0,0.962963,0.037037,0,0
261635004004011,38,1,37,0,0,0.9736842,0.0263158,0,0
261635004004012,21,0,19,0,2,0.9047619,0,0,0.0952381
261635004004014,12,0,12,0,0,1,0,0,0
261635004004015,18,0,18,0,0,1,0,0,0
261635004004001,108,0,104,0,0,0.962963,0,0,0
261635004004003,58,4,52,0,0,0.8965517,0.0689655,0,0
261635004004006,13,1,12,0,0,0.9230769,0.0769231,0,0
261635004004009,14,0,13,1,0,0.9285714,0,0.071429,0
261635004004013,2,2,0,0,0,0,1,0,0
261635004004000,96,11,83,0,1,0.8645833,0.1145833,0,0.0104167
261635005001000,38,0,38,0,0,1,0,0,0
261635005001001,62,0,62,0,0,1,0,0,0
261635005001002,69,3,66,0,0,0.9565217,0.0434783,0,0
261635005001003,73,1,70,0,2,0.9589041,0.0136986,0,0.0273973
261635005001004,117,3,113,0,0,0.965812,0.025641,0,0
261635005001011,79,9,70,0,0,0.8860759,0.1139241,0,0
261635005001005,54,0,54,0,0,1,0,0,0
261635005001006,55,0,54,0,1,0.9818182,0,0,0.0181818
261635005001007,103,5,97,0,0,0.9417476,0.0485437,0,0
261635005001010,67,0,66,0,0,0.9850746,0,0,0
261635005001013,64,0,62,0,0,0.96875,0,0,0
261635005001008,60,4,56,0,0,0.9333333,0.0666667,0,0
261635005001009,19,0,19,0,0,1,0,0,0
261635005001014,0,0,0,0,0,0.8395502082592561,0.07763622124795029,0.007535890480711142,0.052996873962199015
261635005001012,81,0,80,0,0,0.9876543,0,0,0
261635005001016,28,0,28,0,0,1,0,0,0
261635005001015,0,0,0,0,0,0.8395502082592561,0.07763622124795029,0.007535890480711142,0.052996873962199015
261635005002007,20,0,20,0,0,1,0,0,0
261635005002001,44,1,42,1,0,0.9545455,0.0227273,0.022727,0
261635005002008,44,0,43,1,0,0.9772727,0,0.022727,0
261635005002000,24,1,22,0,0,0.9166667,0.0416667,0,0
261635005002002,45,2,38,0,0,0.8444444,0.0444444,0,0
261635005002003,52,1,51,0,0,0.9807692,0.0192308,0,0
261635005002005,50,0,43,3,1,0.86,0,0.06,0.02
261635005002006,70,3,59,0,0,0.8428571,0.0428571,0,0
261635005002004,57,0,57,0,0,1,0,0,0
261635005003000,43,1,39,0,1,0.9069767,0.0232558,0,0.0232558
261635005003001,42,1,38,0,2,0.9047619,0.0238095,0,0.047619
261635005003003,88,3,83,0,0,0.9431818,0.0340909,0,0
261635005003004,56,1,51,0,0,0.9107143,0.0178571,0,0
261635005003006,53,1,52,0,0,0.9811321,0.0188679,0,0
261635005003007,80,1,78,0,0,0.975,0.0125,0,0
261635005003008,74,0,74,0,0,1,0,0,0
261635005003005,25,0,25,0,0,1,0,0,0
261635005003009,29,0,24,0,5,0.8275862,0,0,0.1724138
261635005003002,73,1,72,0,0,0.9863014,0.0136986,0,0
261635005004004,44,0,43,0,0,0.9772727,0,0,0
261635005004009,10,0,10,0,0,1,0,0,0
261635005004005,38,3,35,0,0,0.9210526,0.0789474,0,0
261635005004008,25,0,24,0,1,0.96,0,0,0.04
261635005004001,13,0,13,0,0,1,0,0,0
261635005004003,43,0,43,0,0,1,0,0,0
261635005004006,22,0,22,0,0,1,0,0,0
261635005004000,31,2,29,0,0,0.9354839,0.0645161,0,0
261635005004002,19,1,18,0,0,0.9473684,0.0526316,0,0
261635005004007,22,2,20,0,0,0.9090909,0.0909091,0,0
261635006001002,25,9,15,0,1,0.6,0.36,0,0.04
261635006001014,46,3,43,0,0,0.9347826,0.0652174,0,0
261635006001015,135,3,125,1,1,0.9259259,0.0222222,0.007407,0.0074074
