IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,Y,X
171034661,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,12/22/17 0:00,19:15:00,CENTRAL,NONE,1300 Block of SACRAMENTO ST,37.79236025,-122.414591
171036134,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,12/23/17 0:00,11:20:00,CENTRAL,NONE,900 Block of NORTHPOINT ST,37.80544404,-122.4228577
171036140,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,12/23/17 0:00,12:30:00,RICHMOND,NONE,22ND AV / GEARY BL,37.78022271,-122.4815165
170109176,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,2/8/17 0:00,3:30:00,PARK,NONE,MASONIC AV / OAK ST,37.77208098,-122.4457177
170167588,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,2/27/17 0:00,22:15:00,NORTHERN,NONE,900 Block of VANNESS AV,37.78452027,-122.4212894
170134311,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,2/16/17 0:00,11:00:00,SOUTHERN,NONE,800 Block of BRYANT ST,37.77542071,-122.4034048
170169932,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,2/28/17 0:00,19:00:00,SOUTHERN,NONE,1100 Block of HOWARD ST,37.7773617,-122.4102631
170032141,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,1/12/17 0:00,18:30:00,CENTRAL,NONE,JACKSON ST / STOCKTON ST,37.79582231,-122.4082547
170032157,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,1/12/17 0:00,20:05:00,PARK,NONE,2600 Block of GEARY BL,37.78224582,-122.446613
170180972,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,3/4/17 0:00,10:19:00,NORTHERN,NONE,MYRTLE ST / VANNESS AV,37.78522183,-122.4212904
