GEOID,county,state,tract,medincome,rent,tpop,pnewh,medhval,pwht,pblk,pasn,phsp,region
6001422100,Alameda County,California,Census Tract 4221,72500,1372,2605,0.095347063,605100,0.488675624,0.15815739,0.119769674,0.17696737,Bay Area
6001422200,Alameda County,California,Census Tract 4222,66769,1408,3560,0.027611044,626700,0.57752809,0.075842697,0.136797753,0.108146067,Bay Area
6001422300,Alameda County,California,Census Tract 4223,58606,1531,3853,0.177411037,708100,0.590968077,0.051648066,0.172333247,0.09836491,Bay Area
6001422400,Alameda County,California,Census Tract 4224,57083,1499,4185,0.093264249,717100,0.534050179,0.013381123,0.318757467,0.082437276,Bay Area
6001422500,Alameda County,California,Census Tract 4225,54375,1523,4135,0.010397554,8.29E+05,0.540024184,0.022249093,0.26191052,0.106892382,Bay Area
6001422600,Alameda County,California,Census Tract 4226,250001,1616.686275,1440,0.380952381,2000001,0.411111111,0.025694444,0.402777778,0.120833333,Bay Area
6001422700,Alameda County,California,Census Tract 4227,31050,1416,4895,0.076530612,1081500,0.509499489,0.019611849,0.243309499,0.174872319,Bay Area
6001422800,Alameda County,California,Census Tract 4228,13188,1284,8648,0.058552632,635400,0.31140148,0.034805735,0.4546716,0.133441258,Bay Area
6001422900,Alameda County,California,Census Tract 4229,24056,1389,5024,0.398288973,1074200,0.399084395,0.119625796,0.392515924,0.05035828,Bay Area
6001423000,Alameda County,California,Census Tract 4230,67304,1693,4341,0,640800,0.621976503,0.036166782,0.169546188,0.121630961,Bay Area
6001423100,Alameda County,California,Census Tract 4231,60037,1296,4307,0.067399618,637900,0.478523334,0.131878338,0.20315765,0.103552357,Bay Area
6001423200,Alameda County,California,Census Tract 4232,49375,1375,2932,0.039344262,687900,0.37585266,0.166098226,0.066848568,0.275920873,Bay Area
6001423300,Alameda County,California,Census Tract 4233,77039,1295,4129,0.098169717,617900,0.381448293,0.347783967,0.084524098,0.135141681,Bay Area
6001423400,Alameda County,California,Census Tract 4234,76458,1365,5242,0.012134831,576300,0.458794353,0.133727585,0.140976726,0.162342617,Bay Area
6001423500,Alameda County,California,Census Tract 4235,39780,1124,3262,0,654500,0.524524831,0.139484979,0.120784795,0.1563458,Bay Area
6001423601,Alameda County,California,Census Tract 4236.01,83824,1573,2752,0.01171875,714300,0.712936047,0.036700581,0.096656977,0.105377907,Bay Area
6001423602,Alameda County,California,Census Tract 4236.02,27890,1384,5455,0.015312132,603300,0.416681943,0.061044913,0.339871677,0.113290559,Bay Area
6001423700,Alameda County,California,Census Tract 4237,83347,1272,4110,0.007518797,1101400,0.640145985,0.016058394,0.212895377,0.076155718,Bay Area
6001423800,Alameda County,California,Census Tract 4238,137171,2093,3067,0.007507508,1278100,0.759700033,0.003260515,0.118030649,0.094228888,Bay Area
6001423901,Alameda County,California,Census Tract 4239.01,70417,1185,1938,0.015021459,677400,0.583591331,0.169246646,0.081527348,0.143446852,Bay Area
6001423902,Alameda County,California,Census Tract 4239.02,8.20E+04,1697,1564,0.043312102,830400,0.727621483,0.024936061,0.10230179,0.092071611,Bay Area
6001424001,Alameda County,California,Census Tract 4240.01,58411,1380,4267,0.022102748,653300,0.402624795,0.284743379,0.089289899,0.153972346,Bay Area
6001424002,Alameda County,California,Census Tract 4240.02,58643,1211,2451,0.049904031,477200,0.344757242,0.313341493,0.06119951,0.23623011,Bay Area
6001425101,Alameda County,California,Census Tract 4251.01,64019,1530,1610,0.012820513,256500,0.580745342,0.085093168,0.249068323,0.026708075,Bay Area
