fips,oppzone,city,levratio,medincome,phisp,pblk,mhisp
6085503211,Not Designated,San Jose,4.04,78287,0.256388416,0.01213799,Not Majority
6085512020,Not Designated,San Jose,3.63,85123,0.340742749,0.011520737,Not Majority
6085503803,Not Designated,San Jose,3.56,83173,0.140969163,0.011537655,Not Majority
6085504002,Not Designated,San Jose,3.97,57188,0.654105392,0.017463235,Majority
6085512034,Not Designated,San Jose,3.49,117841,0.331880448,0.007783313,Not Majority
6085503510,Not Designated,San Jose,3.93,56051,0.714426715,0.027800625,Majority
6085512022,Not Designated,San Jose,3.57,64231,0.403367119,0.047586325,Not Majority
6085501401,Designated Qualified Opportunity Zone,San Jose,3.49,44052,0.716959728,0.035167328,Majority
6085500400,Not Designated,San Jose,3.32,66354,0.386843194,0.024824162,Not Majority
6085506605,Not Designated,San Jose,3.48,79345,0.272903539,0.025933107,Not Majority
6085503508,Not Designated,San Jose,4.07,67180,0.712232244,0.034667418,Majority
6085503506,Not Designated,San Jose,4.06,60733,0.614216478,0.012116317,Majority
6085512037,Not Designated,San Jose,3.66,119886,0.238719512,0.019817073,Not Majority
6085502201,Not Designated,San Jose,3.19,57667,0.318541997,0.065552514,Not Majority
6085512023,Not Designated,San Jose,3.34,78100,0.466147102,0.114628998,Not Majority
6085503711,Not Designated,San Jose,4,65703,0.810968495,0.003500583,Majority
6085504320,Not Designated,San Jose,3.58,110875,0.05967006,0.016848017,Not Majority
6085503111,Not Designated,San Jose,4.21,84076,0.447023017,0.037473844,Not Majority
6085503903,Not Designated,San Jose,3.67,65250,0.521533759,0.020839122,Majority
6085503336,Not Designated,San Jose,3.65,88681,0.402130493,0.028229028,Not Majority
6085512043,Not Designated,San Jose,3.76,51000,0.622463768,0.051594203,Majority
6085503709,Not Designated,San Jose,3.84,29545,0.388293347,0.012761613,Not Majority
6085502002,Not Designated,San Jose,3.65,46046,0.665694849,0.037706511,Majority
6085506501,Not Designated,San Jose,3.24,49539,0.464620521,0.04122255,Not Majority
6085501502,Not Designated,San Jose,3.25,63516,0.677587329,0.022347581,Majority
6085503402,Not Designated,San Jose,3.82,54221,0.658784893,0.010180624,Majority
