GEOID,NAME,phisp,asnp,blkp,whtp
06037406901,"Census Tract 4069.01, Los Angeles County, California",0.8100120627261761,0.1156011258544431,0.015480498592681946,0.057096903900281465
06037406902,"Census Tract 4069.02, Los Angeles County, California",0.7770838989953842,0.11838175400488732,0.021178387184360575,0.057290252511539505
06037407001,"Census Tract 4070.01, Los Angeles County, California",0.8735898624632978,0.06335960438881162,0.008190387884407357,0.04357904496986555
06037407002,"Census Tract 4070.02, Los Angeles County, California",0.8382393397524072,0.1031636863823934,0.010178817056396148,0.012104539202200825
06037407101,"Census Tract 4071.01, Los Angeles County, California",0.8507219849501728,0.1161277201545658,0.009151921903599756,0.02359162090705715
06037407102,"Census Tract 4071.02, Los Angeles County, California",0.8488245931283906,0.11301989150090416,0.011754068716094032,0.016998191681735986
06037407200,"Census Tract 4072, Los Angeles County, California",0.8881332408049966,0.05468424705065927,0.00916030534351145,0.04802220680083275
06037407301,"Census Tract 4073.01, Los Angeles County, California",0.8084603822203135,0.0856774747691647,0.009662873094266696,0.07816190680695727
06037407302,"Census Tract 4073.02, Los Angeles County, California",0.8750321419388017,0.04551298534327591,0.015170995114425302,0.05039856004114168
06037407400,"Census Tract 4074, Los Angeles County, California",0.49859943977591037,0.35014005602240894,0.03314659197012138,0.0938375350140056
06037407501,"Census Tract 4075.01, Los Angeles County, California",0.7975077881619937,0.14129951045838895,0.01913662661326213,0.035603026257231864
06037407502,"Census Tract 4075.02, Los Angeles County, California",0.8431224899598394,0.10692771084337349,0,0.044929718875502005
06037407601,"Census Tract 4076.01, Los Angeles County, California",0.8453510436432637,0.12120493358633776,0.007115749525616698,0.004506641366223909
06037407602,"Census Tract 4076.02, Los Angeles County, California",0.8556390977443609,0.08395989974937343,0.0035087719298245615,0.02957393483709273
06037407701,"Census Tract 4077.01, Los Angeles County, California",0.8592578710644677,0.10850824587706147,0.022113943028485756,0.010119940029985007
06037407702,"Census Tract 4077.02, Los Angeles County, California",0.7645937224992666,0.1534174244646524,0.0014667057788207685,0.07714872396597243
