Census Tract,FIPS Code,Formatted FIPS,Annual transit trips taken by a moderate-income family household
"06037241120, CA",6037241120,06037241120,304.83
"06037294421, CA",6037294421,06037294421,134.38
"06037221220, CA",6037221220,06037221220,495.9
"06037183103, CA",6037183103,06037183103,352.47
"06037203100, CA",6037203100,06037203100,418.96
"06037231300, CA",6037231300,06037231300,373.96
"06037218400, CA",6037218400,06037218400,344.13
"06037127220, CA",6037127220,06037127220,350.83
"06037222002, CA",6037222002,06037222002,336.63
"06037271901, CA",6037271901,06037271901,341.93
"06037197300, CA",6037197300,06037197300,501.87
"06037101210, CA",6037101210,06037101210,273.17
"06037234800, CA",6037234800,06037234800,260.9
"06037127910, CA",6037127910,06037127910,280.28
"06037222500, CA",6037222500,06037222500,365.26
"06037211701, CA",6037211701,06037211701,382.38
"06037199800, CA",6037199800,06037199800,335.93
"06037222600, CA",6037222600,06037222600,460.11
"06037219300, CA",6037219300,06037219300,354.24
"06037235201, CA",6037235201,06037235201,246.99
"06037124102, CA",6037124102,06037124102,336.37
"06037128101, CA",6037128101,06037128101,258.53
"06037127920, CA",6037127920,06037127920,254.18
"06037128102, CA",6037128102,06037128102,293.8
"06037127605, CA",6037127605,06037127605,284.74
"06037134104, CA",6037134104,06037134104,235.93
"06037191000, CA",6037191000,06037191000,446.87
"06037135113, CA",6037135113,06037135113,386.36
"06037242000, CA",6037242000,06037242000,259.72
"06037204300, CA",6037204300,06037204300,435.43
"06037190700, CA",6037190700,06037190700,404.03
"06037127803, CA",6037127803,06037127803,297.68
"06037191500, CA",6037191500,06037191500,469.92
"06037273200, CA",6037273200,06037273200,322.64
"06037197500, CA",6037197500,06037197500,597.4
"06037294900, CA",6037294900,06037294900,201.94
"06037127804, CA",6037127804,06037127804,239.83
"06037277400, CA",6037277400,06037277400,488.1
"06037240800, CA",6037240800,06037240800,216.46
"06037123303, CA",6037123303,06037123303,228.33
"06037224700, CA",6037224700,06037224700,478.32
