Census Tract,FIPS Code,Formatted FIPS,"Designated Qualified Opportunity Zones, as of 2018.",city,Median leverage ratio for all loans in 2016.,NAME,medincome,phisp,pblk
"06085503334, CA",6085503334,06085503334,Not Designated,San Jose,3.28,"Census Tract 5033.34, Santa Clara County, California",211442,0.08330428720808644,0.016265830138259555
"06085503332, CA",6085503332,06085503332,Not Designated,San Jose,3.22,"Census Tract 5033.32, Santa Clara County, California",82092,0.11113132048017461,0.010367406329574391
"06085505100, CA",6085505100,06085505100,Designated Qualified Opportunity Zone,San Jose,3.6,"Census Tract 5051, Santa Clara County, California",64676,0.3628421665695981,0.025917297612114153
"06085503115, CA",6085503115,06085503115,Not Designated,San Jose,3.5,"Census Tract 5031.15, Santa Clara County, California",100924,0.1938082451429474,0.013583951982309272
"06085504318, CA",6085504318,06085504318,Not Designated,San Jose,3.48,"Census Tract 5043.18, Santa Clara County, California",57177,0.3775161412837068,0.007026205848841625
"06085503326, CA",6085503326,06085503326,Not Designated,San Jose,3.2,"Census Tract 5033.26, Santa Clara County, California",170903,0.11917525773195876,0.0347766323024055
"06085512033, CA",6085512033,06085512033,Not Designated,San Jose,3.61,"Census Tract 5120.33, Santa Clara County, California",117386,0.3272914824638963,0.04804008252284114
"06085503122, CA",6085503122,06085503122,Designated Qualified Opportunity Zone,San Jose,3.6,"Census Tract 5031.22, Santa Clara County, California",21978,0.3159113463446907,0.06615944426066821
"06085505009, CA",6085505009,06085505009,Not Designated,San Jose,2.91,"Census Tract 5050.09, Santa Clara County, California",100425,0.3218514531754575,0.05005382131324004
"06085504322, CA",6085504322,06085504322,Not Designated,San Jose,3.28,"Census Tract 5043.22, Santa Clara County, California",121625,0.11248258013139557,0.02349193708938881
"06085502702, CA",6085502702,06085502702,Not Designated,San Jose,3.35,"Census Tract 5027.02, Santa Clara County, California",103417,0.15249574217214726,0.026857067994235557
"06085500300, CA",6085500300,06085500300,Not Designated,San Jose,3.11,"Census Tract 5003, Santa Clara County, California",110345,0.22849604221635883,0.07150395778364116
"06085512032, CA",6085512032,06085512032,Not Designated,San Jose,3.69,"Census Tract 5120.32, Santa Clara County, California",112159,0.3607892264328218,0.021609771374882555
"06085511914, CA",6085511914,06085511914,Not Designated,San Jose,3.27,"Census Tract 5119.14, Santa Clara County, California",138676,0.0764685436218283,0.005561348627042058
"06085502400, CA",6085502400,06085502400,Not Designated,San Jose,3.56,"Census Tract 5024, Santa Clara County, California",124028,0.17635355975557765,0.04618445360238738
"06085502902, CA",6085502902,06085502902,Not Designated,San Jose,3.28,"Census Tract 5029.02, Santa Clara County, California",123150,0.21440085975282105,0.003492745835572273
"06085506202, CA",6085506202,06085506202,Not Designated,San Jose,3.24,"Census Tract 5062.02, Santa Clara County, California",123713,0.07267441860465117,0.017995570321151715
"06085502500, CA",6085502500,06085502500,Not Designated,San Jose,3.54,"Census Tract 5025, Santa Clara County, California",146875,0.15065502183406113,0.0028072364316905803
